tweet,label,preprocessed_tweet,tokens
bhaunk bhaunk ke pagal ho jaata ab tak....@AliM786 @Fatimah92,0,bhaunk bhaunk ke pagal ho jaata ab tak,"['bhaunk', 'bhaunk', 'ke', 'pagal', 'ho', 'jaata', 'ab', 'tak']"
shivsaina  nam mulla  saina  rakh  hijra  uddhav thackeray,0,shivsaina nam mulla saina rakh hijra uddhav thackeray,"['shivsaina', 'nam', 'mulla', 'saina', 'rakh', 'hijra', 'uddhav', 'thackeray']"
there are some yahodi daboo like imran chore zakat khore,0,yahodi daboo like imran chore zakat khore,"['yahodi', 'daboo', 'like', 'imran', 'chore', 'zakat', 'khore']"
"chutiye ye hunduism ni he islam he , isme koi kisi muslim ko ni maarta gashti ke bache",0,chutiye ye hunduism ni islam isme koi kisi muslim ko ni maarta gashti ke bache,"['chutiye', 'ye', 'hunduism', 'ni', 'islam', 'isme', 'koi', 'kisi', 'muslim', 'ko', 'ni', 'maarta', 'gashti', 'ke', 'bache']"
han g rakhail e awal kiya bak rai hai. kisay ahmaq kah rai hai dali. tera baap ho ga ahmaq ghasti bosri ki dali,0,han g rakhail e awal kiya bak rai hai kisay ahmaq kah rai hai dali tera baap ho ga ahmaq ghasti bosri ki dali,"['han', 'g', 'rakhail', 'e', 'awal', 'kiya', 'bak', 'rai', 'hai', 'kisay', 'ahmaq', 'kah', 'rai', 'hai', 'dali', 'tera', 'baap', 'ho', 'ga', 'ahmaq', 'ghasti', 'bosri', 'ki', 'dali']"
can you please stop pinning a fan everytime bro  what you need attention  ki log aakar gaali de  usne tera naam likha ho post me  usne tere idol sid ko kuch bola ho   ajeeb chutiya ho yaar poke krna h 24ghante tum chutiyo ko  show ko show ki tarah dekho bc,0,please stop pinning fan everytime bro need attention ki log aakar gaali de usne tera naam likha ho post usne tere idol sid ko kuch bola ho ajeeb chutiya ho yaar poke krna h 24ghante tum chutiyo ko show ko show ki tarah dekho bc,"['please', 'stop', 'pinning', 'fan', 'everytime', 'bro', 'need', 'attention', 'ki', 'log', 'aakar', 'gaali', 'de', 'usne', 'tera', 'naam', 'likha', 'ho', 'post', 'usne', 'tere', 'idol', 'sid', 'ko', 'kuch', 'bola', 'ho', 'ajeeb', 'chutiya', 'ho', 'yaar', 'poke', 'krna', 'h', '24ghante', 'tum', 'chutiyo', 'ko', 'show', 'ko', 'show', 'ki', 'tarah', 'dekho', 'bc']"
 @BilalH2O hum kisi se km nhi ,1,hum kisi se km nhi,"['hum', 'kisi', 'se', 'km', 'nhi']"
"aurat bhatak sakri hy kbi âmaaâ ni bhatakti .  ye line hmy btati hy ky islam ny nikah ko kitna khubsurat rishta bnaya hy , jismy aurat phly sy ziada mazboot hojati , mukammal hojati hy . â¥ï¸  #alif",1,aurat bhatak sakri hy kbi maa ni bhatakti ye line hmy btati hy ky islam ny nikah ko kitna khubsurat rishta bnaya hy jismy aurat phly sy ziada mazboot hojati mukammal hojati hy alif,"['aurat', 'bhatak', 'sakri', 'hy', 'kbi', 'maa', 'ni', 'bhatakti', 'ye', 'line', 'hmy', 'btati', 'hy', 'ky', 'islam', 'ny', 'nikah', 'ko', 'kitna', 'khubsurat', 'rishta', 'bnaya', 'hy', 'jismy', 'aurat', 'phly', 'sy', 'ziada', 'mazboot', 'hojati', 'mukammal', 'hojati', 'hy', 'alif']"
  ye ek aur a gya...bikkau maal...mufty kay kutay...mujib shami lifafay k sath beth kr putar tum jo ho wo chupp nahi sakta... university mein tum jesy londday mushkil waqt mein kaam aatay hain...useless stunts,0,ye ek aur gyabikkau maalmufty kay kutaymujib shami lifafay k sath beth kr putar tum jo ho wo chupp nahi sakta university mein tum jesy londday mushkil waqt mein kaam aatay hainuseless stunts,"['ye', 'ek', 'aur', 'gyabikkau', 'maalmufty', 'kay', 'kutaymujib', 'shami', 'lifafay', 'k', 'sath', 'beth', 'kr', 'putar', 'tum', 'jo', 'ho', 'wo', 'chupp', 'nahi', 'sakta', 'university', 'mein', 'tum', 'jesy', 'londday', 'mushkil', 'waqt', 'mein', 'kaam', 'aatay', 'hainuseless', 'stunts']"
akhrott wants to know your location..,0,akhrott wants know location,"['akhrott', 'wants', 'know', 'location']"
